iter	Passed	Remaining
0	55	38417
1	95	33071
2	135	31361
3	170	29621
4	203	28155
5	239	27541
6	275	27142
7	305	26331
8	339	25964
9	373	25639
10	406	25358
11	445	25405
12	478	25198
13	511	24964
14	544	24750
15	577	24591
16	610	24431
17	643	24290
18	675	24089
19	709	24009
20	741	23882
21	776	23835
22	813	23842
23	849	23830
24	884	23768
25	915	23625
26	950	23581
27	1006	24053
28	1046	24116
29	1087	24171
30	1122	24110
31	1152	23942
32	1185	23852
33	1214	23686
34	1248	23611
35	1282	23553
36	1314	23456
37	1347	23364
38	1375	23209
39	1409	23147
40	1444	23108
41	1476	23022
42	1506	22918
43	1538	22830
44	1568	22723
45	1599	22642
46	1631	22567
47	1660	22455
48	1694	22405
49	1725	22322
50	1755	22234
51	1789	22194
52	1826	22196
53	1860	22152
54	1888	22041
55	1922	22002
56	1952	21926
57	1985	21877
58	2022	21874
59	2055	21820
60	2091	21811
61	2130	21820
62	2173	21877
63	2204	21802
64	2240	21785
65	2273	21734
66	2305	21681
67	2342	21671
68	2377	21636
69	2413	21617
70	2444	21548
71	2475	21492
72	2509	21446
73	2544	21420
74	2577	21377
75	2607	21306
76	2640	21258
77	2675	21233
78	2714	21238
79	2743	21155
80	2776	21116
81	2813	21101
82	2848	21071
83	2878	21003
84	2915	20990
85	2947	20944
86	2976	20871
87	3008	20816
88	3039	20762
89	3067	20686
90	3096	20617
91	3124	20546
92	3153	20480
93	3181	20410
94	3210	20346
95	3241	20294
96	3276	20264
97	3309	20226
98	3342	20191
99	3373	20141
100	3403	20082
101	3434	20032
102	3463	19974
103	3486	19880
104	3513	19809
105	3544	19759
106	3571	19690
107	3601	19643
108	3629	19580
109	3657	19517
110	3687	19466
111	3716	19410
112	3744	19352
113	3772	19290
114	3796	19212
115	3824	19156
116	3852	19096
117	3879	19038
118	3910	18995
119	3940	18945
120	3963	18865
121	3992	18815
122	4021	18768
123	4049	18714
124	4076	18653
125	4105	18605
126	4135	18561
127	4165	18517
128	4193	18465
129	4217	18395
130	4242	18328
131	4267	18268
132	4298	18226
133	4325	18173
134	4353	18122
135	4383	18081
136	4410	18028
137	4437	17976
138	4474	17963
139	4502	17915
140	4528	17857
141	4561	17828
142	4588	17777
143	4618	17734
144	4648	17697
145	4678	17655
146	4706	17607
147	4736	17569
148	4765	17527
149	4794	17482
150	4823	17442
151	4852	17399
152	4879	17348
153	4907	17304
154	4931	17245
155	4959	17198
156	4982	17138
157	5006	17079
158	5037	17044
159	5064	16998
160	5089	16945
161	5120	16909
162	5149	16870
163	5176	16824
164	5200	16767
165	5226	16718
166	5253	16673
167	5281	16631
168	5314	16603
169	5351	16590
170	5381	16553
171	5409	16510
172	5437	16468
173	5469	16440
174	5501	16409
175	5528	16366
176	5556	16325
177	5587	16292
178	5615	16250
179	5646	16217
180	5673	16174
181	5702	16136
182	5732	16102
183	5763	16068
184	5792	16030
185	5820	15989
186	5843	15937
187	5872	15898
188	5893	15841
189	5922	15802
190	5943	15745
191	5969	15701
192	5995	15655
193	6018	15604
194	6043	15558
